StoreNum,PLU,Dept,SubDept,Category,Item,Retail,TPR,Sale
002,0000000000037,37,9937,,"Bread Republic ",0.25,NULL,NULL
003,0000000000037,37,9937,,"Bread Republic ",0.25,NULL,NULL
004,0000000000037,37,9937,,"Bread Republic ",0.25,NULL,NULL
005,0000000000037,37,9937,,"Bread Republic ",0.25,NULL,NULL
007,0000000000037,37,9937,,"Bread Republic ",0.25,NULL,NULL
008,0000000000037,37,9937,,"Bread Republic ",0.25,NULL,NULL
009,0000000000037,37,9937,,"Bread Republic ",0.25,NULL,NULL
011,0000000000037,37,9937,,"Bread Republic ",0.25,NULL,NULL
012,0000000000037,37,9937,,"Bread Republic ",0.25,NULL,NULL
014,0000000000037,37,9937,,"Bread Republic ",0.25,NULL,NULL
015,0000000000037,37,9937,,"Bread Republic ",0.25,NULL,NULL
016,0000000000037,37,9937,,"Bread Republic ",0.25,NULL,NULL
022,0000000000037,37,9937,,"Bread Republic ",0.25,NULL,NULL
023,0000000000037,37,9937,,"Bread Republic ",0.25,NULL,NULL
024,0000000000037,37,9937,,"Bread Republic ",0.25,NULL,NULL
998,0000000000049,70,9970,,IP Reusable Bag 200/cs,18.00,NULL,NULL
998,0000000000049,65,9965,,GROCERY BAG 1 PC,18.00,NULL,NULL
998,0000000000050,36,9936,,HANDLING CHARGE,0.01,NULL,NULL
998,0000000000051,36,9936,,"FREIGHT CHARGE ",65.00,NULL,NULL
998,0000000000052,36,9936,,"PALLET CHARGE ",7.00,NULL,NULL
998,0000000000053,36,9936,,PALLET,7.00,NULL,NULL
002,0000000000070,60,9960,,$1.00 FOR CALAMITY VICTIM,1.00,NULL,NULL
003,0000000000070,60,9960,,$1.00 FOR CALAMITY VICTIM,1.00,NULL,NULL
004,0000000000070,60,9960,,$1.00 FOR CALAMITY VICTIM,1.00,NULL,NULL
005,0000000000070,60,9960,,$1.00 FOR CALAMITY VICTIM,1.00,NULL,NULL
007,0000000000070,60,9960,,$1.00 FOR CALAMITY VICTIM,1.00,NULL,NULL
008,0000000000070,60,9960,,$1.00 FOR CALAMITY VICTIM,1.00,NULL,NULL
009,0000000000070,60,9960,,$1.00 FOR CALAMITY VICTIM,1.00,NULL,NULL
011,0000000000070,60,9960,,$1.00 FOR CALAMITY VICTIM,1.00,NULL,NULL
012,0000000000070,60,9960,,$1.00 FOR CALAMITY VICTIM,1.00,NULL,NULL
014,0000000000070,60,9960,,$1.00 FOR CALAMITY VICTIM,1.00,NULL,NULL
015,0000000000070,60,9960,,$1.00 FOR CALAMITY VICTIM,1.00,NULL,NULL
016,0000000000070,60,9960,,$1.00 FOR CALAMITY VICTIM,1.00,NULL,NULL
017,0000000000070,60,9960,,$1.00 FOR CALAMITY VICTIM,1.00,NULL,NULL
018,0000000000070,60,9960,,$1.00 FOR CALAMITY VICTIM,1.00,NULL,NULL
019,0000000000070,60,9960,,$1.00 FOR CALAMITY VICTIM,1.00,NULL,NULL
020,0000000000070,60,9960,,$1.00 FOR CALAMITY VICTIM,1.00,NULL,NULL
021,0000000000070,60,9960,,$1.00 FOR CALAMITY VICTIM,1.00,NULL,NULL
022,0000000000070,60,9960,,$1.00 FOR CALAMITY VICTIM,1.00,NULL,NULL
023,0000000000070,60,9960,,$1.00 FOR CALAMITY VICTIM,1.00,NULL,NULL
024,0000000000070,60,9960,,$1.00 FOR CALAMITY VICTIM,1.00,NULL,NULL
008,0000000000731,7,656,,MISS SAIPAN FZ CUSTARD APPLE,2.99,NULL,NULL
009,0000000000731,7,656,,MISS SAIPAN FZ CUSTARD APPLE,2.99,NULL,NULL
016,0000000000731,7,656,,MISS SAIPAN FZ CUSTARD APPLE,2.99,NULL,NULL
017,0000000000731,7,656,,MISS SAIPAN FZ CUSTARD APPLE,2.99,NULL,NULL
018,0000000000731,7,656,,MISS SAIPAN FZ CUSTARD APPLE,2.99,NULL,NULL
020,0000000000731,7,656,,MISS SAIPAN FZ CUSTARD APPLE,2.99,NULL,NULL
021,0000000000731,7,656,,MISS SAIPAN FZ CUSTARD APPLE,2.99,NULL,NULL
022,0000000000731,7,656,,MISS SAIPAN FZ CUSTARD APPLE,2.99,NULL,NULL
023,0000000000731,7,656,,MISS SAIPAN FZ CUSTARD APPLE,2.99,NULL,NULL
024,0000000000731,7,656,,MISS SAIPAN FZ CUSTARD APPLE,2.99,NULL,NULL
001,0000000000777,11,613,,SALTED EGG 4 PC,3.49,NULL,NULL
002,0000000000777,11,613,,SALTED EGG 4 PC,3.49,NULL,NULL
003,0000000000777,11,613,,SALTED EGG 4 PC,3.49,NULL,NULL
004,0000000000777,11,613,,SALTED EGG 4 PC,3.49,NULL,NULL
005,0000000000777,11,613,,SALTED EGG 4 PC,3.49,NULL,NULL
006,0000000000777,11,613,,SALTED EGG 4 PC,3.49,NULL,NULL
007,0000000000777,11,613,,SALTED EGG 4 PC,3.49,NULL,NULL
008,0000000000777,11,613,,SALTED EGG 4 PC,3.49,NULL,NULL
009,0000000000777,11,613,,SALTED EGG 4 PC,3.49,NULL,NULL
010,0000000000777,11,613,,SALTED EGG 4 PC,3.49,NULL,NULL
011,0000000000777,11,613,,SALTED EGG 4 PC,3.49,NULL,NULL
012,0000000000777,11,613,,SALTED EGG 4 PC,3.49,NULL,NULL
014,0000000000777,11,613,,SALTED EGG 4 PC,3.49,NULL,NULL
015,0000000000777,11,613,,SALTED EGG 4 PC,3.49,NULL,NULL
016,0000000000777,11,613,,SALTED EGG 4 PC,3.49,NULL,NULL
017,0000000000777,11,613,,SALTED EGG 4 PC,3.49,NULL,NULL
018,0000000000777,11,613,,SALTED EGG 4 PC,3.49,NULL,NULL
019,0000000000777,11,613,,SALTED EGG 4 PC,3.49,NULL,NULL
020,0000000000777,11,613,,SALTED EGG 4 PC,3.49,NULL,NULL
021,0000000000777,11,613,,SALTED EGG 4 PC,3.49,NULL,NULL
022,0000000000777,11,613,,SALTED EGG 4 PC,3.49,NULL,NULL
023,0000000000777,11,613,,SALTED EGG 4 PC,3.49,NULL,NULL
024,0000000000777,11,613,,SALTED EGG 4 PC,3.49,NULL,NULL
003,0000000000790,58,5104,,FRIED FISH,3.99,NULL,NULL
004,0000000000790,58,5104,,FRIED FISH,1.99,NULL,NULL
005,0000000000790,58,5104,,FRIED FISH,1.99,NULL,NULL
008,0000000000790,58,5104,,FRIED FISH,3.99,NULL,NULL
009,0000000000790,58,5104,,FRIED FISH,3.99,NULL,NULL
016,0000000000790,58,5104,,FRIED FISH,3.99,NULL,NULL
017,0000000000790,58,5104,,FRIED FISH,3.99,NULL,NULL
018,0000000000790,58,5104,,FRIED FISH,3.99,NULL,NULL
020,0000000000790,58,5104,,FRIED FISH,3.99,NULL,NULL
021,0000000000790,58,5104,,FRIED FISH,3.99,NULL,NULL
022,0000000000790,58,5104,,FRIED FISH,3.99,NULL,NULL
023,0000000000790,58,5104,,FRIED FISH,3.99,NULL,NULL
024,0000000000790,58,5104,,FRIED FISH,3.99,NULL,NULL
016,0000000000851,58,5108,,ISLA MAR MILKFISH,3.99,NULL,NULL
008,0000000000990,58,5104,,FRIED DAING NA BANGUS,5.99,NULL,NULL
009,0000000000990,58,5104,,FRIED DAING NA BANGUS,5.99,NULL,NULL
016,0000000000990,58,5104,,FRIED DAING NA BANGUS,5.99,NULL,NULL
017,0000000000990,58,5104,,FRIED DAING NA BANGUS,5.99,NULL,NULL
018,0000000000990,58,5104,,FRIED DAING NA BANGUS,5.99,NULL,NULL
